country,player_name,position,age,birthday,club_team
Mexico,Julián Quiñones,Forward,29,1997-03-24,Al-Qadsiah
Mexico,Orbelín Pineda,Midfielder,30,1996-03-24,AEK Athens
Mexico,Obed Vargas,Midfielder,20,2005-08-05,Atlético Madrid
Mexico,Gilberto Mora,Midfielder,17,2008-10-14,Tijuana
Mexico,Mateo Chávez,Defender,22,2004-05-12,AZ
Mexico,César Huerta,Forward,25,2000-12-03,Anderlecht
Mexico,Guillermo Martínez,Forward,31,1995-03-15,Pumas UNAM
Mexico,Jesús Gallardo,Defender,31,1994-08-15,Toluca
Mexico,Luis Chávez,Midfielder,30,1996-01-15,Dynamo Moscow
Mexico,Roberto Alvarado,Forward,27,1998-09-07,Guadalajara
Mexico,Brian Gutiérrez,Midfielder,22,2003-06-17,Guadalajara
South Africa,Ronwen Williams,Goalkeeper,34,1992-01-21,Mamelodi Sundowns
South Africa,Thabang Matuludi,Defender,27,1999-01-14,Polokwane City
South Africa,Khulumani Ndamane,Defender,22,2004-02-05,Mamelodi Sundowns
South Africa,Teboho Mokoena,Midfielder,29,1997-01-24,Mamelodi Sundowns
South Africa,Thalente Mbatha,Midfielder,26,2000-03-06,Orlando Pirates
South Africa,Aubrey Modiba,Defender,30,1995-07-22,Mamelodi Sundowns
South Africa,Oswin Appollis,Forward,24,2001-08-25,Orlando Pirates
South Africa,Tshepang Moremi,Forward,25,2000-10-02,Orlando Pirates
South Africa,Lyle Foster,Forward,25,2000-09-03,Burnley
South Africa,Relebohile Mofokeng,Forward,21,2004-10-23,Orlando Pirates
South Africa,Themba Zwane,Midfielder,36,1989-08-03,Mamelodi Sundowns
South Africa,Thapelo Maseko,Forward,22,2003-11-11,AEL Limassol
South Africa,Sphephelo Sithole,Midfielder,27,1999-03-03,Tondela
South Africa,Mbekezeli Mbokazi,Defender,20,2005-09-19,Chicago Fire FC
South Africa,Iqraam Rayners,Forward,30,1995-12-19,Mamelodi Sundowns
South Africa,Sipho Chaine,Goalkeeper,29,1996-12-14,Orlando Pirates
South Africa,Evidence Makgopa,Forward,26,2000-06-05,Orlando Pirates
South Africa,Samukele Kabini,Defender,22,2004-03-15,Molde
South Africa,Nkosinathi Sibisi,Defender,30,1995-09-22,Orlando Pirates
South Africa,Khuliso Mudau,Defender,31,1995-04-26,Mamelodi Sundowns
South Africa,Ime Okon,Defender,22,2004-02-20,Hannover 96
South Africa,Ricardo Goss,Goalkeeper,32,1994-04-02,Siwelele
South Africa,Jayden Adams,Midfielder,25,2001-05-05,Mamelodi Sundowns
South Africa,Olwethu Makhanya,Defender,22,2004-04-30,
South Africa,Kamogelo Sebelebele,Forward,23,2002-07-21,Orlando Pirates
South Africa,Bradley Cross,Defender,25,2001-01-30,Kaizer Chiefs
South Korea,Kim Seung-gyu,Goalkeeper,35,1990-09-30,FC Tokyo
South Korea,Lee Han-beom,Defender,23,2002-06-17,Midtjylland
South Korea,Lee Gi-hyuk,Midfielder,25,2000-07-07,Gangwon FC
South Korea,Kim Min-jae,Defender,29,1996-11-15,Bayern Munich
South Korea,Kim Tae-hyeon,Defender,25,2000-09-17,Kashima Antlers
South Korea,Hwang In-beom,Midfielder,29,1996-09-20,Feyenoord
South Korea,Son Heung-min,Forward,33,1992-07-08,Los Angeles FC
South Korea,Paik Seung-ho,Midfielder,29,1997-03-17,Birmingham City
South Korea,Cho Gue-sung,Forward,28,1998-01-25,Midtjylland
South Korea,Lee Jae-sung,Midfielder,33,1992-08-10,Mainz 05
South Korea,Hwang Hee-chan,Midfielder,30,1996-01-26,Wolverhampton Wanderers
South Korea,Song Bum-keun,Goalkeeper,28,1997-10-15,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,Defender,23,2002-07-28,Austria Wien
South Korea,Cho Wi-je,Defender,24,2001-08-25,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,Defender,30,1995-08-01,Daejeon Hana Citizen
South Korea,Park Jin-seob,Defender,30,1995-10-23,Zhejiang
South Korea,Bae Jun-ho,Midfielder,22,2003-08-21,Stoke City
South Korea,Oh Hyeon-gyu,Forward,25,2001-04-12,Beşiktaş
South Korea,Lee Kang-in,Midfielder,25,2001-02-19,Paris Saint-Germain
South Korea,Yang Hyun-jun,Midfielder,24,2002-05-25,Celtic
South Korea,Jo Hyeon-woo,Goalkeeper,34,1991-09-25,Ulsan HD
South Korea,Seol Young-woo,Defender,27,1998-12-05,Red Star Belgrade
South Korea,Jens Castrop,Defender,22,2003-07-29,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,Midfielder,29,1997-02-24,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,Midfielder,24,2002-05-09,Swansea City
South Korea,Lee Dong-gyeong,Midfielder,28,1997-09-20,Ulsan HD
Bosnia and Herzegovina,Nikola Vasilj,Goalkeeper,30,1995-12-02,FC St. Pauli
Bosnia and Herzegovina,Nihad Mujakić,Defender,28,1998-04-15,Gaziantep
Bosnia and Herzegovina,Dennis Hadžikadunić,Defender,27,1998-07-09,Sampdoria
Bosnia and Herzegovina,Tarik Muharemović,Defender,23,2003-02-28,Sassuolo
Bosnia and Herzegovina,Sead Kolašinac,Defender,32,1993-06-20,Atalanta
Bosnia and Herzegovina,Benjamin Tahirović,Midfielder,23,2003-03-03,Brøndby
Bosnia and Herzegovina,Amar Dedić,Defender,23,2002-08-18,Benfica
Bosnia and Herzegovina,Armin Gigović,Midfielder,24,2002-04-06,Young Boys
Bosnia and Herzegovina,Samed Baždar,Forward,22,2004-01-31,Jagiellonia Białystok
Bosnia and Herzegovina,Ermedin Demirović,Forward,28,1998-03-25,VfB Stuttgart
Bosnia and Herzegovina,Edin Džeko,Forward,40,1986-03-17,Schalke 04
Bosnia and Herzegovina,Mladen Jurkas,Goalkeeper,18,2007-10-07,Borac Banja Luka
Bosnia and Herzegovina,Ivan Bašić,Midfielder,24,2002-04-30,Astana
Bosnia and Herzegovina,Ivan Šunjić,Midfielder,29,1996-10-09,Pafos
Bosnia and Herzegovina,Amar Memić,Midfielder,25,2001-01-20,Viktoria Plzeň
Bosnia and Herzegovina,Amir Hadžiahmetović,Midfielder,29,1997-03-08,Hull City
Bosnia and Herzegovina,Dženis Burnić,Midfielder,28,1998-05-22,Karlsruher SC
Bosnia and Herzegovina,Nikola Katić,Defender,29,1996-10-10,Schalke 04
Bosnia and Herzegovina,Kerim Alajbegović,Forward,18,2007-09-21,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,Forward,21,2005-03-10,PSV Eindhoven
Bosnia and Herzegovina,Stjepan Radeljić,Defender,28,1997-09-05,Rijeka
Bosnia and Herzegovina,Martin Zlomislić,Goalkeeper,27,1998-08-16,Rijeka
Bosnia and Herzegovina,Haris Tabaković,Forward,31,1994-06-20,Borussia Mönchengladbach
Bosnia and Herzegovina,Arjan Malić,Defender,20,2005-08-28,Sturm Graz
Bosnia and Herzegovina,Jovo Lukić,Forward,27,1998-11-28,Universitatea Cluj
Bosnia and Herzegovina,Ermin Mahmić,Midfielder,21,2005-03-14,Slovan Liberec
Canada,Dayne St. Clair,Goalkeeper,29,1997-05-09,Inter Miami CF
Canada,Alistair Johnston,Defender,27,1998-10-08,Celtic
Canada,Alfie Jones,Defender,28,1997-10-07,Middlesbrough
Canada,Luc de Fougerolles,Defender,20,2005-10-12,Dender
Canada,Joel Waterman,Defender,30,1996-01-24,Chicago Fire FC
Canada,Mathieu Choinière,Midfielder,27,1999-02-07,Los Angeles FC
Canada,Stephen Eustáquio,Midfielder,29,1996-12-21,Los Angeles FC
Canada,Ismaël Koné,Midfielder,23,2002-06-16,Sassuolo
Canada,Cyle Larin,Forward,31,1995-04-17,Southampton
Canada,Jonathan David,Forward,26,2000-01-14,Juventus
Canada,Liam Millar,Midfielder,26,1999-09-27,Hull City
Canada,Tani Oluwaseyi,Forward,26,2000-05-15,Villarreal
Canada,Derek Cornelius,Defender,28,1997-11-25,Rangers
Canada,Jacob Shaffelburg,Midfielder,26,1999-11-26,Los Angeles FC
Canada,Moïse Bombito,Defender,26,2000-03-30,Nice
Canada,Maxime Crépeau,Goalkeeper,32,1994-05-11,Orlando City SC
Canada,Tajon Buchanan,Forward,27,1999-02-08,Villarreal
Canada,Owen Goodman,Goalkeeper,22,2003-11-27,Barnsley
Canada,Alphonso Davies,Defender,25,2000-11-02,Bayern Munich
Canada,Ali Ahmed,Forward,25,2000-10-10,Norwich City
Canada,Jonathan Osorio,Midfielder,33,1992-06-12,Toronto FC
Canada,Richie Laryea,Defender,31,1995-01-07,Toronto FC
Canada,Niko Sigur,Defender,22,2003-09-09,Hajduk Split
Canada,Promise David,Forward,24,2001-07-03,Saint-Gilloise
Canada,Nathan Saliba,Midfielder,22,2004-02-07,Anderlecht
Canada,Jayden Nelson,Forward,23,2002-09-26,Austin FC
Qatar,Mahmud Abunada,Goalkeeper,26,2000-02-05,Al-Rayyan
Qatar,Pedro Miguel,Defender,35,1990-08-06,Al-Sadd
Qatar,Lucas Mendes,Defender,35,1990-07-03,Al-Wakrah
Qatar,Issa Laye,Defender,28,1997-12-22,Al-Arabi
Qatar,Jassem Gaber,Defender,24,2002-02-20,Al-Rayyan
Qatar,Abdulaziz Hatem,Midfielder,36,1990-01-01,Al-Rayyan
Qatar,Ahmed Alaaeldin,Forward,33,1993-01-31,Al-Rayyan
Qatar,Edmilson Junior,Forward,31,1994-08-19,Al-Duhail
Qatar,Mohammed Muntari,Forward,32,1993-12-20,Al-Gharafa
Qatar,Hassan Al-Haydos,Forward,35,1990-12-11,Al-Sadd
Qatar,Akram Afif,Forward,29,1996-11-18,Al-Sadd
Qatar,Karim Boudiaf,Midfielder,35,1990-09-16,Al-Duhail
Qatar,Ayoub Al-Oui,Defender,21,2005-03-11,Al-Gharafa
Qatar,Homam Ahmed,Defender,26,1999-08-25,Cultural Leonesa
Qatar,Yusuf Abdurisag,Forward,26,1999-08-06,Al-Wakrah
Qatar,Boualem Khoukhi,Defender,35,1990-07-09,Al-Sadd
Qatar,Ahmed Al-Ganehi,Midfielder,25,2000-09-22,Al-Gharafa
Qatar,Sultan Al-Brake,Defender,30,1996-04-07,Al-Duhail
Qatar,Almoez Ali,Forward,29,1996-08-19,Al-Duhail
Qatar,Ahmed Fathy,Midfielder,33,1993-01-25,Al-Arabi
Qatar,Salah Zakaria,Goalkeeper,27,1999-04-24,Al-Duhail
Qatar,Meshaal Barsham,Goalkeeper,28,1998-02-14,Al-Sadd
Qatar,Assim Madibo,Midfielder,29,1996-10-22,Al-Wakrah
Qatar,Tahsin Jamshid,Forward,19,2006-06-16,Al-Duhail
Qatar,Al-Hashmi Al-Hussain,Defender,22,2003-08-15,Al-Arabi
Qatar,Mohamed Manai,Forward,23,2002-10-25,Al-Shamal
Switzerland,Gregor Kobel,Goalkeeper,28,1997-12-06,Borussia Dortmund
Switzerland,Miro Muheim,Defender,28,1998-03-24,Hamburger SV
Switzerland,Silvan Widmer,Defender,33,1993-03-05,Mainz 05
Switzerland,Nico Elvedi,Defender,29,1996-09-30,Borussia Mönchengladbach
Switzerland,Manuel Akanji,Defender,30,1995-07-19,Inter Milan
Switzerland,Denis Zakaria,Midfielder,29,1996-11-20,Monaco
Switzerland,Breel Embolo,Forward,29,1997-02-14,Rennes
Switzerland,Remo Freuler,Midfielder,34,1992-04-15,Bologna
Switzerland,Johan Manzambi,Midfielder,20,2005-10-14,SC Freiburg
Switzerland,Granit Xhaka,Midfielder,33,1992-09-27,Sunderland
Switzerland,Dan Ndoye,Forward,25,2000-10-25,Nottingham Forest
Switzerland,Yvon Mvogo,Goalkeeper,32,1994-06-06,Lorient
Switzerland,Ricardo Rodriguez,Defender,33,1992-08-25,Real Betis
Switzerland,Ardon Jashari,Midfielder,23,2002-07-30,Milan
Switzerland,Djibril Sow,Midfielder,29,1997-02-06,Sevilla
Switzerland,Christian Fassnacht,Forward,32,1993-11-11,Young Boys
Switzerland,Rubén Vargas,Forward,27,1998-08-05,Sevilla
Switzerland,Eray Cömert,Defender,28,1998-02-04,Valencia
Switzerland,Noah Okafor,Forward,26,2000-05-24,Leeds United
Switzerland,Michel Aebischer,Midfielder,29,1997-01-06,Pisa
Switzerland,Marvin Keller,Goalkeeper,23,2002-07-03,Young Boys
Switzerland,Fabian Rieder,Midfielder,24,2002-02-16,FC Augsburg
Switzerland,Zeki Amdouni,Forward,25,2000-12-04,Burnley
Switzerland,Aurèle Amenda,Defender,22,2003-07-31,Eintracht Frankfurt
Switzerland,Luca Jaquez,Defender,23,2003-06-02,VfB Stuttgart
Switzerland,Cedric Itten,Forward,29,1996-12-27,Fortuna Düsseldorf
Brazil,Alisson,Goalkeeper,33,1992-10-02,Liverpool
Brazil,Éderson Silva,Midfielder,26,1999-07-07,Atalanta
Brazil,Gabriel Magalhães,Defender,28,1997-12-19,Arsenal
Brazil,Marquinhos,Defender,32,1994-05-14,Paris Saint-Germain
Brazil,Casemiro,Midfielder,34,1992-02-23,Manchester United
Brazil,Alex Sandro,Defender,35,1991-01-26,Flamengo
Brazil,Vinícius Júnior,Forward,25,2000-07-12,Real Madrid
Brazil,Bruno Guimarães,Midfielder,28,1997-11-16,Newcastle United
Brazil,Matheus Cunha,Forward,27,1999-05-27,Manchester United
Brazil,Neymar,Forward,34,1992-02-05,Santos
Brazil,Raphinha,Forward,29,1996-12-14,Barcelona
Brazil,Weverton,Goalkeeper,38,1987-12-13,Grêmio
Brazil,Danilo Luiz,Defender,34,1991-07-15,Flamengo
Brazil,Bremer,Defender,29,1997-03-18,Juventus
Brazil,Léo Pereira,Defender,30,1996-01-31,Flamengo
Brazil,Douglas Santos,Defender,32,1994-03-22,Zenit Saint Petersburg
Brazil,Fabinho,Midfielder,32,1993-10-23,Al-Ittihad
Brazil,Danilo Santos,Midfielder,25,2001-04-29,Botafogo
Brazil,Endrick,Forward,19,2006-07-21,Lyon
Brazil,Lucas Paquetá,Midfielder,28,1997-08-27,Flamengo
Brazil,Luiz Henrique,Forward,25,2001-01-02,Zenit Saint Petersburg
Brazil,Gabriel Martinelli,Forward,24,2001-06-18,Arsenal
Brazil,Ederson Moraes,Goalkeeper,32,1993-08-17,Fenerbahçe
Brazil,Roger Ibañez,Defender,27,1998-11-23,Al-Ahli
Brazil,Igor Thiago,Forward,24,2001-06-26,Brentford
Brazil,Rayan,Forward,19,2006-08-03,Bournemouth
Haiti,Johny Placide,Goalkeeper,38,1988-01-29,Bastia
Haiti,Carlens Arcus,Defender,29,1996-06-28,Angers
Haiti,Keeto Thermoncy,Defender,20,2006-03-29,Young Boys
Haiti,Ricardo Adé,Defender,36,1990-05-21,LDU Quito
Haiti,Hannes Delcroix,Defender,27,1999-02-28,Lugano
Haiti,Carl Sainté,Midfielder,23,2002-08-09,El Paso Locomotive FC
Haiti,Derrick Etienne Jr.,Forward,29,1996-11-25,Toronto FC
Haiti,Martin Expérience,Defender,27,1999-03-09,Nancy
Haiti,Duckens Nazon,Forward,32,1994-04-07,Esteghlal
Haiti,Jean-Ricner Bellegarde,Midfielder,27,1998-06-27,Wolverhampton Wanderers
Haiti,Louicius Deedson,Forward,25,2001-02-11,FC Dallas
Haiti,Alexandre Pierre,Goalkeeper,25,2001-02-25,Sochaux
Haiti,Duke Lacroix,Defender,32,1993-10-14,Colorado Springs Switchbacks FC
Haiti,Garven Metusala,Defender,26,1999-12-31,Colorado Springs Switchbacks FC
Haiti,Ruben Providence,Forward,24,2001-07-07,Almere City
Haiti,Lenny Joseph,Forward,25,2000-10-12,Ferencváros
Haiti,Danley Jean Jacques,Midfielder,26,2000-05-20,
Haiti,Wilson Isidor,Forward,25,2000-08-27,Sunderland
Haiti,Yassin Fortuné,Forward,27,1999-01-30,Vizela
Haiti,Frantzdy Pierrot,Forward,31,1995-03-29,Çaykur Rizespor
Haiti,Josué Casimir,Forward,24,2001-09-24,Auxerre
Haiti,Jean-Kévin Duverne,Defender,28,1997-07-12,Gent
Haiti,Josué Duverger,Goalkeeper,26,2000-04-27,Cosmos Koblenz
Haiti,Wilguens Paugain,Defender,24,2001-08-24,Zulte Waregem
Haiti,Dominique Simon,Midfielder,25,2000-07-29,Tatran Prešov
Haiti,Woodensky Pierre,Midfielder,21,2004-12-30,Violette
Morocco,Yassine Bounou,Goalkeeper,35,1991-04-05,Al-Hilal
Morocco,Achraf Hakimi,Defender,27,1998-11-04,Paris Saint-Germain
Morocco,Noussair Mazraoui,Defender,28,1997-11-14,Manchester United
Morocco,Sofyan Amrabat,Midfielder,29,1996-08-21,Real Betis
Morocco,Marwane Saâdane,Defender,34,1992-01-17,Al-Fateh
Morocco,Ayyoub Bouaddi,Midfielder,18,2007-10-02,Lille
Morocco,Chemsdine Talbi,Midfielder,21,2005-05-09,Sunderland
Morocco,Azzedine Ounahi,Midfielder,26,2000-04-19,Girona
Morocco,Soufiane Rahimi,Forward,30,1996-06-02,Al Ain
Morocco,Brahim Díaz,Forward,26,1999-08-03,Real Madrid
Morocco,Ismael Saibari,Midfielder,25,2001-01-28,PSV Eindhoven
Morocco,Munir Mohamedi,Goalkeeper,37,1989-05-10,RS Berkane
Morocco,Zakaria El Ouahdi,Defender,24,2001-12-31,Genk
Morocco,Issa Diop,Defender,29,1997-01-09,Fulham
Morocco,Samir El Mourabet,Midfielder,20,2005-10-06,Strasbourg
Morocco,Gessime Yassine,Midfielder,20,2005-11-22,Strasbourg
Morocco,Amine Sbaï,Forward,25,2000-11-05,Angers
Morocco,Chadi Riad,Defender,22,2003-06-17,Crystal Palace
Morocco,Youssef Belammari,Defender,27,1998-09-20,Al Ahly
Morocco,Ayoub El Kaabi,Forward,32,1993-06-25,Olympiacos
Morocco,Ayoube Amaimouni,Forward,21,2004-11-30,Eintracht Frankfurt
Morocco,Ahmed Reda Tagnaouti,Goalkeeper,30,1996-04-05,AS FAR
Morocco,Bilal El Khannouss,Midfielder,22,2004-05-10,VfB Stuttgart
Morocco,Neil El Aynaoui,Midfielder,24,2001-07-02,Roma
Morocco,Redouane Halhal,Defender,23,2003-03-05,Mechelen
Morocco,Anass Salah-Eddine,Defender,24,2002-01-18,PSV Eindhoven
Scotland,Angus Gunn,Goalkeeper,30,1996-01-22,Nottingham Forest
Scotland,Aaron Hickey,Defender,24,2002-06-10,Brentford
Scotland,Andy Robertson,Defender,32,1994-03-11,Liverpool
Scotland,Scott McTominay,Midfielder,29,1996-12-08,Napoli
Scotland,Grant Hanley,Defender,34,1991-11-20,Hibernian
Scotland,Kieran Tierney,Defender,29,1997-06-05,Celtic
Scotland,John McGinn,Midfielder,31,1994-10-18,Aston Villa
Scotland,Tyler Fletcher,Midfielder,19,2007-03-19,Manchester United
Scotland,Lyndon Dykes,Forward,30,1995-10-07,Charlton Athletic
Scotland,Ché Adams,Forward,29,1996-07-13,Torino
Scotland,Ryan Christie,Midfielder,31,1995-02-22,Bournemouth
Scotland,Liam Kelly,Goalkeeper,30,1996-01-23,Rangers
Scotland,Jack Hendry,Defender,31,1995-05-07,Al-Ettifaq
Scotland,Ross Stewart,Forward,29,1996-07-11,Southampton
Scotland,John Souttar,Defender,29,1996-09-25,Rangers
Scotland,Dominic Hyam,Defender,30,1995-12-20,Wrexham
Scotland,Ben Gannon-Doak,Forward,20,2005-11-11,Bournemouth
Scotland,George Hirst,Forward,27,1999-02-15,Ipswich Town
Scotland,Lewis Ferguson,Midfielder,26,1999-08-24,Bologna
Scotland,Lawrence Shankland,Forward,30,1995-08-10,Heart of Midlothian
Scotland,Craig Gordon,Goalkeeper,43,1982-12-31,Heart of Midlothian
Scotland,Nathan Patterson,Defender,24,2001-10-16,Everton
Scotland,Kenny McLean,Midfielder,34,1992-01-08,Norwich City
Scotland,Anthony Ralston,Defender,27,1998-11-16,Celtic
Scotland,Findlay Curtis,Forward,20,2006-06-09,Kilmarnock
Scotland,Scott McKenna,Defender,29,1996-11-12,Dinamo Zagreb
Australia,Mathew Ryan,Goalkeeper,34,1992-04-08,Levante
Australia,Miloš Degenek,Defender,32,1994-04-28,APOEL
Australia,Alessandro Circati,Defender,22,2003-10-10,Parma
Australia,Jacob Italiano,Defender,24,2001-07-30,Grazer AK
Australia,Jordan Bos,Defender,23,2002-10-29,Feyenoord
Australia,Jason Geria,Defender,33,1993-05-10,Albirex Niigata
Australia,Mathew Leckie,Forward,35,1991-02-04,Melbourne City
Australia,Connor Metcalfe,Midfielder,26,1999-11-05,FC St. Pauli
Australia,Mohamed Touré,Forward,22,2004-03-26,Norwich City
Australia,Ajdin Hrustic,Forward,29,1996-07-05,Heracles Almelo
Australia,Awer Mabil,Forward,30,1995-09-15,Castellón
Australia,Paul Izzo,Goalkeeper,31,1995-01-06,Randers
Australia,Aiden O'Neill,Midfielder,27,1998-07-04,New York City FC
Australia,Cammy Devlin,Midfielder,28,1998-06-07,Heart of Midlothian
Australia,Kai Trewin,Defender,25,2001-05-18,New York City FC
Australia,Aziz Behich,Defender,35,1990-12-16,Melbourne City
Australia,Nestory Irankunda,Forward,20,2006-02-09,Watford
Australia,Patrick Beach,Goalkeeper,22,2003-08-06,Melbourne City
Australia,Harry Souttar,Defender,27,1998-10-22,Leicester City
Australia,Cristian Volpato,Forward,22,2003-11-15,Sassuolo
Australia,Cameron Burgess,Defender,30,1995-10-21,Swansea City
Australia,Jackson Irvine,Midfielder,33,1993-03-07,FC St. Pauli
Australia,Nishan Velupillay,Forward,25,2001-05-07,Melbourne Victory
Australia,Paul Okon-Engstler,Midfielder,21,2005-01-24,Sydney FC
Australia,Lucas Herrington,Defender,18,2007-09-05,Colorado Rapids
Australia,Tete Yengi,Forward,25,2000-11-28,Machida Zelvia
Paraguay,Gatito Fernández,Goalkeeper,38,1988-03-29,Cerro Porteño
Paraguay,Gustavo Velázquez,Defender,35,1991-04-17,Cerro Porteño
Paraguay,Omar Alderete,Defender,29,1996-12-26,Sunderland
Paraguay,Juan José Cáceres,Defender,26,2000-06-01,Dynamo Moscow
Paraguay,Fabián Balbuena,Defender,34,1991-08-23,Grêmio
Paraguay,Júnior Alonso,Defender,33,1993-02-09,Atlético Mineiro
Paraguay,Ramón Sosa,Midfielder,26,1999-08-31,Palmeiras
Paraguay,Diego Gómez,Midfielder,23,2003-03-27,Brighton & Hove Albion
Paraguay,Antonio Sanabria,Forward,30,1996-03-04,Cremonese
Paraguay,Miguel Almirón,Midfielder,32,1994-02-10,Atlanta United FC
Paraguay,Maurício,Midfielder,24,2001-06-22,Palmeiras
Paraguay,Orlando Gill,Goalkeeper,26,2000-06-11,San Lorenzo
Paraguay,José Canale,Defender,29,1996-07-20,Lanús
Paraguay,Andrés Cubas,Midfielder,30,1996-05-11,Vancouver Whitecaps FC
Paraguay,Gustavo Gómez,Defender,33,1993-05-06,Palmeiras
Paraguay,Damián Bobadilla,Midfielder,24,2001-07-11,São Paulo
Paraguay,Kaku,Forward,31,1995-01-11,Al Ain
Paraguay,Álex Arce,Forward,30,1995-06-16,Independiente Rivadavia
Paraguay,Julio Enciso,Forward,22,2004-01-23,Strasbourg
Paraguay,Braian Ojeda,Midfielder,25,2000-06-27,Orlando City SC
Paraguay,Gabriel Ávalos,Forward,34,1991-07-09,Independiente
Paraguay,Gastón Olveira,Goalkeeper,33,1993-04-21,Olimpia
Paraguay,Matías Galarza,Midfielder,24,2002-02-11,Atlanta United FC
Paraguay,Gustavo Caballero,Midfielder,24,2001-09-21,Portsmouth
Paraguay,Isidro Pitta,Forward,26,1999-08-14,Red Bull Bragantino
Paraguay,Alexandro Maidana,Defender,20,2005-07-26,Talleres
Turkey,Mert Günok,Goalkeeper,37,1989-03-01,Fenerbahçe
Turkey,Zeki Çelik,Defender,29,1997-02-17,Roma
Turkey,Merih Demiral,Defender,28,1998-03-05,Al-Ahli
Turkey,Çağlar Söyüncü,Defender,30,1996-05-23,Fenerbahçe
Turkey,Salih Özcan,Midfielder,28,1998-01-11,Borussia Dortmund
Turkey,Orkun Kökçü,Midfielder,25,2000-12-29,Beşiktaş
Turkey,Kerem Aktürkoğlu,Forward,27,1998-10-21,Fenerbahçe
Turkey,Arda Güler,Forward,21,2005-02-25,Real Madrid
Turkey,Deniz Gül,Forward,21,2004-07-02,Porto
Turkey,Hakan Çalhanoğlu,Midfielder,32,1994-02-08,Inter Milan
Turkey,Kenan Yıldız,Forward,21,2005-05-04,Juventus
Turkey,Altay Bayındır,Goalkeeper,28,1998-04-14,Manchester United
Turkey,Eren Elmalı,Defender,25,2000-07-07,Galatasaray
Turkey,Abdülkerim Bardakcı,Defender,31,1994-09-07,Galatasaray
Turkey,Ozan Kabak,Defender,26,2000-03-25,TSG Hoffenheim
Turkey,İsmail Yüksek,Midfielder,27,1999-01-26,Fenerbahçe
Turkey,İrfan Can Kahveci,Forward,30,1995-07-15,Kasımpaşa
